lunghezza n,quickSelect,heapSelect,medianOfMedians
100,0.0001581861999584362,0.00016339390000212007,0.00020728180003061426
107,0.0001578826999757439,0.00022857300001487602,0.0002492747000505915
114,0.00018675940003595314,0.00017811879990040324,0.00027297250008268746
123,0.0001988783000560943,0.00021674400007759686,0.0002948012000415474
132,0.00023855990002630278,0.00020588260010117666,0.00030795470002340154
141,0.00021380790002876893,0.00023975009999412577,0.00031383399991318585
151,0.00022451760001422372,0.00022640950001368766,0.0003251078999310266
162,0.00022868190001463517,0.00023301540008105804,0.00033497359995089936
174,0.00026274699992791283,0.00027419289998942986,0.0003760408999805804
187,0.0002871084001089912,0.0002710689000377897,0.00046267869985604194
200,0.0003132807999354554,0.00034727280006336515,0.00039740329996857326
215,0.00032165919998078607,0.00033588220008823555,0.0004208839999482734
231,0.000328012999962084,0.00032482629998412447,0.000470583899950725
247,0.0003480695999896852,0.00038916380000591746,0.0005012594000436366
265,0.0003463981000095373,0.00037649210001109167,0.0005288138999749208
284,0.00038467190008668694,0.0004218823000555858,0.0005688348000403493
305,0.0004188977999438066,0.0004700967999815475,0.0006091042999178171
327,0.0004342989999859128,0.0005050884000520454,0.0006544603000365896
351,0.00048054150001553355,0.0005252270000200951,0.0007002640998689458
376,0.0005471449000324356,0.0005454645000572782,0.0007460862000880298
403,0.0005136665999452817,0.0006368773001158843,0.0009803993000386982
432,0.0005866986999753862,0.0006430024999572197,0.0008516678000160027
464,0.0006474243000702699,0.0007276879998971708,0.0008936001999682048
497,0.000662339499918744,0.0007418996999913361,0.0009081419000140158
533,0.0007069728999776998,0.0008385891000652918,0.0010109493998897961
572,0.0008283743000210962,0.0008583822999498807,0.0011053227999946102
613,0.0007874366999894846,0.0009670420000184094,0.001150875300038024
657,0.0008959936000755988,0.0010107171999407,0.0012431659000721993
705,0.0010148827999655623,0.0010964141998993,0.0013918656000168994
756,0.0009809242999908748,0.001137050400080625,0.001405903600010788
811,0.0010284246000519489,0.0012113099999260157,0.0015160131999582519
869,0.001166681300062919,0.0013362488999700871,0.0016262700999941444
932,0.0013178377000876934,0.0014069412001117597,0.0018334809000662062
1000,0.0013237338000617455,0.0015279179999342887,0.0018185300000477583
1072,0.0013683341000578367,0.0017076337999315,0.001979779899935238
1149,0.0014936446999781765,0.001716986300001736,0.0021184058000799266
1232,0.0016324802999588429,0.00196262289994047,0.0022640909999463474
1321,0.0017096190999436659,0.0020018067999044435,0.0024557355999422726
1417,0.0018571889999002451,0.002131540700007463,0.0026781280998984585
1519,0.002054291600070428,0.002301408899933449,0.0028040822000039043
1629,0.002107802899990929,0.0025727846999798205,0.003300485600004322
1747,0.002345587299991166,0.0029027387999376515,0.0032299274999822956
1873,0.002403414399988833,0.0031308903000463032,0.003462613199983025
2009,0.0024759487000264925,0.003115005900064716,0.0037394192998763173
2154,0.0028800346000061837,0.003529348799958825,0.004134246899964637
2310,0.0030214361999969697,0.0036375856999802635,0.004228350999983377
2477,0.003296323999995366,0.003845883300076821,0.004637969099974725
2656,0.0035019187998696,0.004093747599821654,0.004842597799914074
2848,0.003638297399869771,0.004807010199976503,0.005372641499983729
3053,0.004114574200066272,0.004879777300011483,0.005479578899976332
3274,0.0043592509999434694,0.005436079599967343,0.005969169499920099
3511,0.00456756440004392,0.005526706499964348,0.006405445699943811
3764,0.004780900400030077,0.00692404030005855,0.0069871029999630995
4037,0.0051726709000358825,0.006478224699996644,0.007399739400076214
4328,0.005575938200039673,0.006947017700018478,0.008288255199891865
4641,0.006084776999967289,0.007457195499984664,0.00838983939983882
4977,0.0065989342999673685,0.008132747400013613,0.009016558500006796
5336,0.006964720299947658,0.008522402100104956,0.010097867899952689
5722,0.007613097599867615,0.009539448800031096,0.010468176099995617
6135,0.00776856090000365,0.010041353900087415,0.01128110230002494
6579,0.008518530400033341,0.01086343929998111,0.012378292600013083
7054,0.00908700850000605,0.011536069700014195,0.012803753700020024
7564,0.009907607500004814,0.01318364589996054,0.01398920439997164
8111,0.011212267799972324,0.014326081000021076,0.014813055000005989
8697,0.01132926400002907,0.014973045000020647,0.015929744600100094
9326,0.012031472699905862,0.016211300999930244,0.017973258600017288
10000,0.01309046429998125,0.017117180399989593,0.018024784700071905
10722,0.014145732599979964,0.018721508200105746,0.019245269200051554
11497,0.01486299870001676,0.02036895660008304,0.02309710259998974
12328,0.01600987060002808,0.022155461399976047,0.02225747549999505
13219,0.016980270199943335,0.023441044400053214,0.024480300999988686
14174,0.01820999870012747,0.02535788470004627,0.02646023290006269
15199,0.020077665800068645,0.0271767766999983,0.027924440699993284
16297,0.021257850300040446,0.029420042800076773,0.03030968049998046
17475,0.02296407429994724,0.03150401779999083,0.0320212361998565
18738,0.024231929500034312,0.033816255299985644,0.033552388599928235
20092,0.025907868000038435,0.03620575539991842,0.03664742109997315
21544,0.02876418659990304,0.03922409490001155,0.038808553499926346
23101,0.030606345199979842,0.04480550349994155,0.04169909020005434
24770,0.03260724539998046,0.046277019699991796,0.044745557300106154
26560,0.03472826630002237,0.049755978999979564,0.04847481299996434
28480,0.03816410399996675,0.053398658000020076,0.05268439110011968
30538,0.040096659300033935,0.05702230809995672,0.05659772420000809
32745,0.04379260740002792,0.061739802499985674,0.059471430399979
35111,0.047685430300072766,0.06737137519998941,0.06493360700014454
37649,0.05112452180009859,0.08089841110004636,0.08461892529999022
40370,0.06584213419984736,0.08770511940002325,0.08678932279991568
43287,0.05661024389998056,0.08553649080001924,0.08038547839997046
46415,0.06358831640002609,0.09329445429994666,0.09119275500001095
49770,0.06604069749996415,0.1009558704999945,0.09306413219994283
53366,0.07211447379995661,0.10938490149985591,0.09854241950002324
57223,0.08011057730004541,0.11944691940001212,0.10651987390009163
61359,0.08210041430001729,0.12946843560003618,0.11570263179996983
65793,0.09251205710002978,0.14170253530009358,0.12534882070007733
70548,0.09815942790004192,0.15228770569995687,0.13441738139996595
